tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,13,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,13,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,12,0,0,0,0,0,99.9692,99.6,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,12,0,0,0,0,0,99.9385,99.2,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,11,0,0,0,0,0,99.8615,98.6,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,11,0,0,0,0,0,99.7846,98.0,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,10,0,0,0,0,0,99.6769,97.4,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,10,0,0,0,0,0,99.5692,96.8,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,9,0,0,0,0,0,99.4308,96.2,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,9,0,0,0,0,0,99.2923,95.6,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,8,0,0,0,0,0,99.1077,95.0,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,8,0,0,0,0,0,98.9077,94.4,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,4,8,1,0,0,0,0,98.7385,93.8,100.0,0.0,0.0,1.0,1.0
14,0,5.0,0.0,0.0,0.0,0.0,5,8,0,0,0,0,0,98.5231,93.2,100.0,0.0,0.0,0.0,1.0
15,0,6.0,1.0,0.0,0.0,0.0,6,7,0,0,0,0,0,98.2769,92.6,100.0,0.0,0.0,0.0,1.0
16,0,6.0,0.0,0.0,0.0,0.0,5,7,1,0,0,0,0,98.0769,92.6,100.0,0.0,0.0,1.0,2.0
17,0,6.0,0.0,0.0,0.0,0.0,4,7,2,0,0,0,0,97.9231,92.6,100.0,0.0,0.0,2.0,4.0
18,0,6.0,0.0,0.0,0.0,0.0,4,7,2,0,0,0,0,97.7538,92.6,100.0,0.0,0.0,2.0,6.0
19,0,8.0,2.0,0.0,0.0,0.0,6,5,2,0,0,0,0,97.5231,92.6,100.0,0.0,0.0,2.0,8.0
20,0,7.0,0.0,1.0,1.0,0.0,5,6,2,0,0,0,0,97.2923,92.2,100.0,0.0,0.0,2.0,10.0
21,0,6.0,0.0,1.0,2.0,0.0,4,7,2,0,0,0,0,97.1077,91.6,100.0,0.0,0.0,2.0,12.0
22,0,5.0,0.0,1.0,3.0,0.0,4,8,1,0,0,0,0,96.9692,91.6,100.0,1.0,1.0,2.0,14.0
23,0,5.0,1.0,1.0,4.0,0.0,5,8,0,0,0,0,0,96.7385,91.6,100.0,0.0,1.0,0.0,14.0
24,0,5.0,0.0,0.0,4.0,0.0,5,8,0,0,0,0,0,96.5538,91.4,100.0,0.0,1.0,0.0,14.0
25,0,6.0,1.0,0.0,4.0,0.0,6,7,0,0,0,0,0,96.3231,90.8,100.0,0.0,1.0,0.0,14.0
26,0,6.0,0.0,0.0,4.0,0.0,6,7,0,0,0,0,0,96.0769,90.2,100.0,0.0,1.0,0.0,14.0
27,0,7.0,1.0,0.0,4.0,0.0,7,6,0,0,0,0,0,95.8,89.6,100.0,0.0,1.0,0.0,14.0
28,0,6.0,0.0,1.0,5.0,0.0,6,7,0,0,0,0,0,95.5231,89.0,100.0,0.0,1.0,0.0,14.0
29,0,6.0,0.0,0.0,5.0,0.0,6,7,0,0,0,0,0,95.2923,88.4,100.0,0.0,1.0,0.0,14.0
30,0,6.0,0.0,0.0,5.0,0.0,6,7,0,0,0,0,0,95.0462,87.8,100.0,0.0,1.0,0.0,14.0
