run_id,tick,event_type,robot_id,task_id,details
20260903_123152_96ebda,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=C-03
20260903_123152_96ebda,3,task_assigned,R7,G00001,
20260903_123152_96ebda,5,task_created,,G00002,type=PICK pickup=H-08 dropoff=PICK-1
20260903_123152_96ebda,5,task_assigned,R2,G00002,
20260903_123152_96ebda,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-2
20260903_123152_96ebda,7,task_assigned,R5,G00003,
20260903_123152_96ebda,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_123152_96ebda,9,task_assigned,R1,G00004,
20260903_123152_96ebda,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=B-05
20260903_123152_96ebda,11,task_assigned,R6,G00005,
20260903_123152_96ebda,15,task_created,,G00006,type=PICK pickup=A-08 dropoff=PICK-3
20260903_123152_96ebda,15,task_assigned,R4,G00006,
20260903_123152_96ebda,17,task_completed,R1,G00004,
20260903_123152_96ebda,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=B-08
20260903_123152_96ebda,19,task_assigned,R8,G00007,
20260903_123152_96ebda,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_123152_96ebda,19,task_assigned,R1,G00008,
20260903_123152_96ebda,19,robot_blocked,R7,,"{""x"": 11, ""y"": 4}"
20260903_123152_96ebda,20,robot_blocked,R2,,"{""x"": 13, ""y"": 4}"
20260903_123152_96ebda,20,robot_blocked,R6,,"{""x"": 12, ""y"": 4}"
20260903_123152_96ebda,22,task_completed,R5,G00003,
20260903_123152_96ebda,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_123152_96ebda,23,task_assigned,R5,G00009,
20260903_123152_96ebda,25,task_completed,R6,G00005,
20260903_123152_96ebda,25,task_created,,G00010,type=PICK pickup=C-07 dropoff=PICK-2
20260903_123152_96ebda,25,task_assigned,R3,G00010,
20260903_123152_96ebda,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=A-05
20260903_123152_96ebda,27,task_assigned,R6,G00011,
20260903_123152_96ebda,30,task_completed,R5,G00009,
20260903_123152_96ebda,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_123152_96ebda,31,task_assigned,R5,G00012,
20260903_123152_96ebda,33,task_completed,R1,G00008,
20260903_123152_96ebda,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=D-03
20260903_123152_96ebda,35,task_created,,G00014,type=PICK pickup=E-08 dropoff=PICK-1
20260903_123152_96ebda,35,task_assigned,R1,G00014,
20260903_123152_96ebda,36,task_completed,R2,G00002,
20260903_123152_96ebda,37,task_assigned,R2,G00013,
20260903_123152_96ebda,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
